model,target_season,min_tbf_eval,rmse,mae,r2,rmse_bfw,mae_bfw,bias,n,fold_weights
M3_eb_stuff_prior,2024,50,0.04619171261695674,0.03473135611480987,0.30556036254346786,0.03968821826432159,0.02960489239893611,-0.002946486302282798,531,"(1.0, 0.6, 0.35)"
M4_ridge,2024,50,0.04832616338319165,0.037015364503421834,0.23989951747541205,0.04101238974909077,0.03147554814265796,0.012661300965363508,531,"(1.0, 0.6, 0.35)"
M5_lightgbm,2024,50,0.046705373249570116,0.035223372986039926,0.290029887306815,0.04077325764733786,0.030455257140597432,0.0018421992488593497,531,"(1.0, 0.6, 0.35)"
M6_blend_eb_ridge,2024,50,0.04620343631979251,0.03498689156391923,0.30520781284779863,0.03931877554155283,0.02960113401687278,0.004857407331540354,531,"(1.0, 0.6, 0.35)"
M0_league_average,2024,100,0.05277301862521589,0.041434523439313385,-0.002259685076379858,0.04902737053398978,0.03851684393973695,-0.002505796304953458,450,"(1.0, 0.6, 0.35)"
M1_last_season_kpct,2024,100,0.060256201549226576,0.043544525,-0.3066518582516089,0.051108452533277574,0.03714658173591101,0.0020970952222222226,450,"(1.0, 0.6, 0.35)"
M2_marcel_flat_prior,2024,100,0.043866557003684706,0.03309770237557859,0.3074940867691315,0.0388647463510931,0.029170281974088448,-0.0047200022620168935,450,"(1.0, 0.6, 0.35)"
M3_eb_stuff_prior,2024,100,0.04436505176120439,0.033202059937725244,0.2916655349710535,0.039050236633437305,0.02913093632455789,-0.005744798213880338,450,"(1.0, 0.6, 0.35)"
M4_ridge,2024,100,0.04506107526026766,0.034843301422534154,0.2692657054485752,0.04000027169321718,0.03084572604937577,0.009291496502833707,450,"(1.0, 0.6, 0.35)"
M5_lightgbm,2024,100,0.044622629396042696,0.03354829958122995,0.2834166655361199,0.040080381931534924,0.029949059507792624,-0.0014097110040099362,450,"(1.0, 0.6, 0.35)"
M6_blend_eb_ridge,2024,100,0.04368575842887553,0.03309651341821478,0.31319073007682074,0.038503207287561805,0.02903977081042268,0.001773349144476684,450,"(1.0, 0.6, 0.35)"
M0_league_average,2024,200,0.050770863450375674,0.039029321007581885,-0.014837549236531578,0.04783185609307516,0.03730548778662373,-0.0061389963061546605,333,"(1.0, 0.6, 0.35)"
M1_last_season_kpct,2024,200,0.04998980790887726,0.03712120750750751,0.016146658767048794,0.0455511126448434,0.033958017532408555,0.001490841741741743,333,"(1.0, 0.6, 0.35)"
M2_marcel_flat_prior,2024,200,0.03902442664097835,0.02953207066357012,0.40042917642845377,0.03622973208577332,0.027338336835182633,-0.006766734138343895,333,"(1.0, 0.6, 0.35)"
M3_eb_stuff_prior,2024,200,0.039239490610686704,0.02957364718493921,0.3938024862202295,0.03636409156849373,0.02730300957417066,-0.00773767081647555,333,"(1.0, 0.6, 0.35)"
M4_ridge,2024,200,0.04002489753119434,0.0309632300411877,0.3692926581824467,0.03726777748011594,0.028880035971443913,0.006556738550004186,333,"(1.0, 0.6, 0.35)"
M5_lightgbm,2024,200,0.04071955611472702,0.030387351894232507,0.3472099905623729,0.037893933042087505,0.02828107479169654,-0.003648240076906339,333,"(1.0, 0.6, 0.35)"
M6_blend_eb_ridge,2024,200,0.03854818568534919,0.029290161417149907,0.41497380338755874,0.03576499918659889,0.027116143788280013,-0.0005904661332356825,333,"(1.0, 0.6, 0.35)"
